Player;Rank;Points;Kill(s) Game 1;Kill(s) Game 2;Kill(s) Game 3;Kill(s) Game 4;Kill(s) Game 5;Kill(s) Game 6;Kill(s) Game 7;Kill(s) Game 8;Kill(s) Game 9;Kill(s) Game 10;Position Game 1;Position Game 2;Position Game 3;Position Game 4;Position Game 5;Position Game 6;Position Game 7;Position Game 8;Position Game 9;Position Game 10;Time Game 1;Time Game 2;Time Game 3;Time Game 4;Time Game 5;Time Game 6;Time Game 7;Time Game 8;Time Game 9;Time Game 10;Time Lobby 1;Time Lobby 2;Time Lobby 3;Time Lobby 4;Time Lobby 5;Time Lobby 6;Time Lobby 7;Time Lobby 8;Time Lobby 9;Time Lobby 10;Game Id 1;Game Id 2;Game Id 3;Game Id 4;Game Id 5;Game Id 6;Game Id 7;Game Id 8;Game Id 9;Game Id 10
JÄF;532;31;1;0;0;3;2;0;0;0;0;;27;43;77;7;11;2;23;95;13;;1334.0;1258.0;352.0;1556.0;1542.0;1697.0;1533.0;160.0;1451.0;;;;;;;;;;;;2a2d7b3548d14de59d9bb48a4e221522;0ba02174c666455d85f16f60744a0c6d;16d328782dff4a74b4ce00ed546ed618;1ade7cb666bc4ea0b5920f540ee30d34;274c5f0e67724832a4d8ef94adf0ae80;3487e7ad70a047bfbf9f3e7794be201e;41bac650e765475a987be3e9e6844925;48ad294aea294fb89e4a870dc35ad3b2;4929d1278f614863a73550e66a49cb7f;
AUTOMATIKK-53;533;31;1;1;0;1;1;0;0;1;1;0;20;25;5;62;5;96;50;99;14;28;1352.0;1512.0;1656.0;759.0;1553.0;182.0;956.0;154.0;1461.0;1489.0;;;;;;;;;;;b1190d28d41a4328b5ac559d765fff1a;0c41c7882aaf4c0bb91f55f5b1875142;1a41f14a3cdc4505bbd19f8b90bd707c;2880d5ae8ec14ea5a51f3eb03db0f472;2d1cdd3d3e0a409a9376f78949f3fd04;3a566fa9e88243bca8370e59a3801f76;3bbc29b32ebe44efac1725a102d24046;41beb62f24d5446ebf866a58c36a5547;4276e10b9e80460e83c0cbc1e2246d46;4a61c9eefa8146a1b65c908a2d10df34
qvbaS;534;31;0;0;0;0;0;0;0;0;4;2;87;82;54;3;70;67;24;22;2;9;166.0;326.0;893.0;1563.0;453.0;568.0;1458.0;1428.0;1691.0;1959.0;;;;;;;;;;;7b5224c8457b42bea5c7f6536a258db3;0283dbee88f0419ab2c734271a6ec829;05ed5f07a70f407cb7133362ca938917;0c28212a4c0f457ba816261cb4e5ad80;1a41f14a3cdc4505bbd19f8b90bd707c;1e597edda0e5472da13f060bb91400c4;233ffd7129564f6c909a30c99f18cb06;2e868bab085e4966841d97d84386b6b5;3ab503134f9c46ddb5d7a5f0190d533a;4771f1a96a9340c1a58a54b71bdfeaec
JeroFN Twitch;535;31;0;0;0;0;0;1;0;2;0;0;66;13;24;98;20;14;59;6;4;98;774.0;1484.0;1349.0;206.0;1406.0;1601.0;627.0;1507.0;1602.0;317.0;;;;;;;;;;;4923e6ff07b7400d879dfe7256be2312;07baf9641786411e8a4468d286eddd5d;12f3c11dc3964e5bb12c55b728714f55;200da0daac494141a6e61be77dab9893;22858776b6d940e6805dde4429304caa;2d847b955380472faa10f6f5616b1276;3a588d394095400184aed2f946628ac4;3f3f18b12d694263b6192cca6c123cde;4771f1a96a9340c1a58a54b71bdfeaec;4f692d25ab5f4375abcf1428a66643d2
TTV.fiR3hUNTER57;536;31;0;1;0;0;0;0;0;0;0;;21;13;10;39;97;2;9;31;11;;1317.0;1483.0;1435.0;1170.0;196.0;1684.0;1536.0;1373.0;1638.0;;;;;;;;;;;;7e0f097ea10c4326ba755c10213c25a9;0ba02174c666455d85f16f60744a0c6d;1850e9eeb53f49069ea87588a06a9642;2489595e6335476588813a11dda93831;2dc8e2bcfb794f48a3dc149450df3fe9;2fc5e6e38b584021beffa3db70e6cd11;3ec74ba4899c4236bf6d71ef20b02524;45e6e79eb0ec4109b5639dc09cc44227;4e9d2b10b43c4aa996d040a01c4ddd23;
Domilz;537;30;3;2;0;1;0;0;6;0;1;1;1;18;45;48;99;39;20;60;76;47;1498.0;1633.0;1200.0;1355.0;162.0;1308.0;1415.0;484.0;310.0;866.0;;;;;;;;;;;1e94dfe26ca7480db53592b735a2840f;0e2398a6b2aa4fd4bce3498f20ed63b7;1cf15780c9a24c5ba84fc29ff3ce4a5d;283be34460954342ab8984c3eb308cbe;2f050993ffb74a9aabde03320777a428;30ecb9512a624c20a051bc7812f08b81;3bdaf40bb5dd4359ab063b308d764f3c;4437c56e93224216a767f00b07b7a693;477474eee3574ba3b4d6d27a34f319af;4929d1278f614863a73550e66a49cb7f
FA Readii;538;30;2;0;0;0;6;3;0;0;0;2;1;26;64;37;48;55;48;68;59;5;1520.0;1558.0;929.0;1449.0;1080.0;972.0;928.0;349.0;478.0;1580.0;;;;;;;;;;;a93b3853d572461482ba7559994d90ce;0e2398a6b2aa4fd4bce3498f20ed63b7;1cda681a43904abc96f85ca9d636ff24;23bf959a513d4138abbbd6c1f27b1397;2e9d9567752c40798ed2f5680b380172;38247f8f9c6446048d897c8cf433d065;40958cdc7a98449abe35b34001c249d8;43e1faa5b9964ebaa7b9a27280e08c4a;468d87c4441b4607a821d084fa369e0a;48ad294aea294fb89e4a870dc35ad3b2
Twitch_ZefiixTv;539;30;1;3;0;3;0;1;0;0;1;3;65;23;31;11;41;65;87;93;66;1;866.0;1390.0;1550.0;1405.0;1356.0;412.0;387.0;230.0;711.0;1728.0;;;;;;;;;;;0160306bee654f7ab6bcdbec9096e83d;07ea1c690a4f435ab3704c7b30a294ef;15d2f5057ba24e6c838dad6ca2b93a36;2186f9c8ee174a4fb057a17653ece330;2d1cdd3d3e0a409a9376f78949f3fd04;38f6d049529c46fe87846567b28a24fa;3c2ebd2cd46e4c02aeee34b330d221f5;3f449125a3e34ace904933620873d5c9;40bec06518324125b19a4a02fc7c7bee;43dee77ab8cb49669371f62835742388
Payamz.TTV;540;30;0;6;0;2;0;0;0;0;0;2;29;1;64;3;61;43;74;45;84;16;1359.0;1597.0;599.0;1481.0;810.0;1399.0;426.0;1191.0;191.0;1535.0;;;;;;;;;;;00b2c2cb4bd74bf4acbc27146dee23a9;0c0370eacb2f41f6af63c6a652262162;19bb3304e39f44c1b4fc1b7996d5e659;1e953c618589461eb2554d7905ebe9a1;2be7f903e83c4cc9b4095910397b836c;31e8abff3ca24002acba3ec78f9a47a0;3ec74ba4899c4236bf6d71ef20b02524;40b1e48f8d34440c9bcc06789280abdb;468d87c4441b4607a821d084fa369e0a;48366ea6f32d4bbdb795027ee53c6684
hippi is doodoo;541;30;1;0;0;5;1;0;0;0;1;1;28;18;25;1;30;33;15;90;81;33;1405.0;1387.0;1345.0;1569.0;1365.0;1370.0;1433.0;351.0;311.0;1487.0;;;;;;;;;;;0160306bee654f7ab6bcdbec9096e83d;0c0370eacb2f41f6af63c6a652262162;18048cdb2ecc4e25b077c653428983d5;23a944d3ba094a25a5d7afb837d6331d;2f050993ffb74a9aabde03320777a428;3bbc29b32ebe44efac1725a102d24046;43e1faa5b9964ebaa7b9a27280e08c4a;4c0f744e7df048e3b5cedf36be7bcfaa;4e9d2b10b43c4aa996d040a01c4ddd23;4f0497a982e944b8aea1ad2f521fc779
